0.579376,0.315719,0.268816
0.739475,0.306199,0.364799
0.575696,0.272022,0.148390
0.627039,0.229908,0.142115
0.574091,0.313747,0.297401
0.664622,0.255252,0.216248
0.526275,0.263974,0.206348
0.614071,0.286618,0.184917
0.651657,0.311964,0.259053
0.630547,0.283841,0.299583
0.586070,0.306430,0.202060
0.636140,0.285559,0.270717
0.581772,0.255059,0.283178
0.620629,0.259159,0.282384
0.584944,0.337662,0.313751
0.536183,0.163046,0.042539
0.671154,0.256200,0.186529
0.556476,0.222141,0.113414
0.712897,0.314749,0.343777
0.632921,0.251586,0.186757
0.692887,0.283809,0.145428
0.638512,0.253303,0.157887
0.763424,0.311793,0.247924
0.550542,0.240900,0.216366
0.666184,0.253968,0.214829
0.699132,0.256602,0.243183
0.604917,0.271403,0.203903
0.599800,0.259188,0.195444
0.549584,0.261892,0.291021
0.644421,0.254766,0.128735
0.665704,0.264464,0.252156
0.643772,0.275502,0.203106
0.639617,0.242294,0.119989
0.644253,0.265006,0.165778
0.615938,0.285080,0.183209
0.673363,0.234179,0.110731
0.706795,0.226322,0.101761
0.683114,0.269104,0.164979
0.488451,0.289307,0.316857
0.642647,0.306733,0.314808
0.557716,0.221110,0.112269
0.578488,0.269712,0.145821
0.600732,0.258417,0.194590
0.460924,0.298629,0.296676
0.577528,0.290704,0.220480
0.528578,0.272158,0.241118
0.698778,0.305497,0.190075
0.717175,0.260732,0.155437
0.599604,0.289649,0.306297
0.699566,0.294741,0.152458
0.677183,0.287865,0.267942
0.621341,0.317263,0.265193
0.566960,0.286755,0.277655
0.622299,0.296269,0.190529
0.698442,0.325977,0.264168
0.607429,0.249124,0.127816
0.583745,0.291911,0.191040
0.590132,0.282878,0.124552
0.564072,0.232295,0.119583
0.656525,0.277658,0.143941
0.524561,0.248934,0.194760
0.534624,0.283606,0.248729
0.495113,0.300245,0.323909
0.651240,0.275681,0.172526
0.501972,0.280710,0.220085
0.507262,0.282687,0.191496
0.657148,0.277143,0.143368
0.578605,0.299922,0.256394
0.810409,0.315569,0.215989
0.464685,0.255102,0.145644
0.709931,0.349389,0.279957
0.595224,0.315321,0.206823
0.661140,0.320598,0.263548
0.578915,0.299667,0.256111
0.595393,0.296894,0.370816
0.501324,0.301451,0.294471
0.685615,0.267053,0.162700
0.530914,0.260123,0.202084
0.716178,0.322181,0.377741
0.650257,0.316904,0.321014
0.621936,0.336982,0.338449
0.568821,0.285219,0.275960
0.644976,0.314931,0.349608
0.641297,0.271219,0.229139
0.632979,0.204790,0.062870
0.575374,0.265941,0.172412
0.569609,0.274464,0.238340
0.498570,0.256969,0.173150
0.613764,0.280539,0.208951
0.580801,0.277901,0.180588
0.647682,0.262181,0.162641
0.545444,0.327755,0.338910
0.647038,0.282923,0.237032
0.624311,0.304721,0.225591
0.477930,0.218338,0.176356
0.546543,0.316746,0.301008
0.466226,0.253816,0.144215
0.546543,0.316746,0.301008
0.519656,0.305326,0.206426
0.546852,0.316491,0.300726
0.647349,0.282664,0.236746
0.430693,0.313917,0.339604
