timestamp,dx,dy,dthetaw,dthetaz,time_imu,ax,ay,az,pressure
1753447075257487069,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075251466578,0.0,0.98,0.33,13.930000305175781
1753447075285608953,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075251756863,0.0,0.98,0.33,13.930000305175781
1753447075315698414,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075275949936,0.01,0.97,0.35,13.930000305175781
1753447075345706306,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075310109951,0.01,0.97,0.34,13.930000305175781
1753447075375487901,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075335618816,0.01,0.98,0.35,13.930000305175781
1753447075405643394,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075365655258,0.0,0.97,0.34,13.930000305175781
1753447075435545090,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075395949413,0.01,0.97,0.33,13.930000305175781
1753447075465741380,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075425925603,0.01,0.98,0.33,13.930000305175781
1753447075495878830,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075455950736,0.01,0.98,0.35,13.930000305175781
1753447075525805964,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075485881261,0.01,0.96,0.33,13.930000305175781
1753447075555926114,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075515851528,0.01,0.98,0.34,13.930000305175781
1753447075586206231,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075545744830,0.01,0.97,0.34,13.930000305175781
1753447075615612197,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075575651036,0.01,0.98,0.34,13.930000305175781
1753447075645908803,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075605633309,0.0,0.98,0.34,13.930000305175781
1753447075675638205,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075635748534,0.0,0.97,0.33,13.930000305175781
1753447075705756167,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075665657495,0.0,0.98,0.35,13.930000305175781
1753447075735953721,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075695675335,0.01,0.97,0.34,13.930000305175781
1753447075765816617,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075725844665,0.0,0.97,0.34,13.930000305175781
1753447075797130877,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075755680794,0.01,0.97,0.34,13.930000305175781
1753447075825720405,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075785679038,0.01,0.97,0.33,13.930000305175781
1753447075855696943,0.49,0.0,0.6946583704589974,-0.7193398003386511,1753447075815684918,0.01,0.97,0.34,13.930000305175781
