timestamp,ax,ay,az,wx,wy,wz,mx,my,mz
1750171157050217242,-0.07164964824914932,-0.061830442398786545,-9.809054374694824,0.0041358680464327335,-0.005468160845339298,-0.0024957044515758753,0.18073232471942902,-0.3083338439464569,0.727233350276947
1750171157082555292,-0.06586415320634842,-0.0680258572101593,-9.814334869384766,0.0038648536428809166,-0.005003202706575394,-0.0027139000594615936,0.1950501948595047,-0.29572793841362,0.744914710521698
1750171157137656451,-0.06478995084762573,-0.0669112578034401,-9.807279586791992,0.00462323147803545,-0.005019905976951122,-0.0023268589284271,0.19139057397842407,-0.29051488637924194,0.7312510013580322
1750171157137668397,-0.07336388528347015,-0.06582567095756531,-9.812606811523438,0.004276436287909746,-0.0048487745225429535,-0.002385224448516965,0.19780659675598145,-0.3068111836910248,0.728303074836731
1750171157200183944,-0.070408396422863,-0.06700144708156586,-9.808603286743164,0.0037501968909054995,-0.00463614659383893,-0.0022969685960561037,0.1841665804386139,-0.30284252762794495,0.7240843772888184
1750171157250139555,-0.06846893578767776,-0.06452999264001846,-9.810742378234863,0.00397225096821785,-0.004903760738670826,-0.0022197775542736053,0.1812736988067627,-0.29522705078125,0.7373225092887878
1750171157282661905,-0.06911269575357437,-0.07148720324039459,-9.8082857131958,0.003891905304044485,-0.004717852454632521,-0.0023182881996035576,0.18781962990760803,-0.2994743883609772,0.7310261130332947
1750171157337664823,-0.06909792125225067,-0.06084822118282318,-9.814043998718262,0.004194218665361404,-0.004988363943994045,-0.002088027074933052,0.1848473846912384,-0.2922426760196686,0.7408939003944397
1750171157337679168,-0.07442452758550644,-0.061795394867658615,-9.813512802124023,0.004101541358977556,-0.004892803728580475,-0.0020229341462254524,0.17779423296451569,-0.2953173518180847,0.7337369918823242
1750171157400175291,-0.06652690470218658,-0.06704213470220566,-9.80482006072998,0.0037389076314866543,-0.004907847847789526,-0.002829222707077861,0.181235209107399,-0.29840603470802307,0.7373104691505432
1750171157450189484,-0.0680287554860115,-0.06366673111915588,-9.815330505371094,0.004104034509509802,-0.005221003200858831,-0.0023923367261886597,0.18779730796813965,-0.2967740595340729,0.727658748626709
