timestamp,px,py,pz
1753447075095755948,-3.46675596633674,13.828425635149426,-0.503688070741822
1753447075136430094,-3.466827418825624,13.828355094005548,-0.503711714658514
1753447075188345976,-3.466750355977301,13.828415933021496,-0.503687977271757
1753447075240230980,-3.466837704339299,13.828364841616278,-0.503692783258892
1753447075290066347,-3.466932974785395,13.82832911773385,-0.503701683645529
1753447075337546359,-3.466601097275614,13.82853496416999,-0.503614293405906
1753447075385730186,-3.466857401126392,13.828392155288359,-0.503677074994587
1753447075435757167,-3.46686585480534,13.828406457019733,-0.503676460757062
1753447075487601622,-3.466870569149585,13.82841457195677,-0.503676449110662
1753447075536748779,-3.466865510407884,13.82840601636689,-0.503676823188203
1753447075601611880,-3.46686546914021,13.828405915389089,-0.503676752139586
1753447075635628973,-3.466950148216016,13.82835711196844,-0.50369791894595
1753447075687179635,-3.466865309931358,13.82840572869955,-0.503676960119675
1753447075743985451,-3.466789284012605,13.82846982504628,-0.503656717589698
1753447075787853345,-3.466707488216013,13.828517160512817,-0.503620262038571
1753447075836673975,-3.466885336191184,13.828433509019431,-0.503661009625863
1753447075886880749,-3.467050705180751,13.82832197069791,-0.50368656546569
1753447075935900187,-3.466707435672874,13.828517094596116,-0.503620320452995
1753447075990715825,-3.466878508762931,13.828418340120171,-0.503652908047711
1753447076036273623,-3.466885388952405,13.828433546179822,-0.503660881985273
1753447076088657170,-3.466885126466845,13.828433387151446,-0.503661578403285
1753447076136752898,-3.466877235253707,13.828419630299564,-0.503661186110506
1753447076196620029,-3.466772689978602,13.828441160561699,-0.503656519091144
1753447076236438345,-3.466875408796798,13.828416292444821,-0.503660729868735
1753447076286093676,-3.466800859904002,13.828482927183078,-0.503640473615303
1753447076337591361,-3.466978280174523,13.828398806078164,-0.503681855428468
1753447076386502385,-3.46690702796649,13.828460029199109,-0.503635245856321
1753447076437467689,-3.466995897218807,13.828408155831042,-0.503631966840579
1753447076488727537,-3.46720840588215,13.828362292525387,-0.503620635752479
1753447076538729522,-3.467128282688327,13.828408970105766,-0.503575767073273
1753447076585731248,-3.467230082506981,13.828381158601982,-0.503576735265957
1753447076636185444,-3.467078349691148,13.828495894411953,-0.50350295472753
1753447076687045551,-3.467107400332812,13.828518592285713,-0.503437963472771
1753447076738308217,-3.467126905297304,13.828530441519021,-0.503386264322594
1753447076787123006,-3.467154131116375,13.828550065640577,-0.503321425627199
1753447076843000702,-3.467347793088254,13.82846496086225,-0.503293948895524
1753447076886806652,-3.467385445850362,13.828493551487457,-0.503207705605595
1753447076937610528,-3.46732971096501,13.828564646818615,-0.503120979520783
1753447076987996608,-3.46734963087959,13.828573042936995,-0.503059339748421
1753447077035457615,-3.467290505580695,13.828612328098355,-0.502910836771521
1753447077086907061,-3.467545094333458,13.828441326594385,-0.502913587100691
1753447077137691424,-3.467552056721568,13.828749985049054,-0.502650637854097
1753447077195877285,-3.468203169719431,13.830724736773334,-0.501284786059092
1753447077242937283,-3.468222546084776,13.832599835297886,-0.500329827336965
1753447077291501078,-3.468370300660927,13.833110208874478,-0.499965766270512
1753447077342086153,-3.468308529797958,13.833116082442283,-0.499748032064835
1753447077392027283,-3.468520734921109,13.831640338394093,-0.499731873230364
1753447077450401441,-3.468787299909933,13.829266653741094,-0.499778010696416
1753447077492874779,-3.468672916342921,13.828782685388102,-0.499579512795255
1753447077540961297,-3.468463023576673,13.829069148093023,-0.499668775070533
1753447077592188256,-3.468753190542467,13.828978508343898,-0.499716719126523
1753447077657911169,-3.468579008129918,13.829026912881453,-0.499576721368102
1753447077693795609,-3.468629803472174,13.829037246968532,-0.499392195684841
1753447077741054017,-3.469283365839896,13.82898880149116,-0.498529904893677
1753447077793033519,-3.471292206517004,13.830407761072022,-0.491652025720251
1753447077852297055,-3.472757522883387,13.831431293769018,-0.487014433029901
1753447077900863659,-3.474173336041198,13.83234514259704,-0.482283334879531
1753447077944632621,-3.475039793216821,13.832827172936408,-0.478792456299617
1753447077993558311,-3.476354475328489,13.833241668631477,-0.475214637761543
1753447078043840201,-3.479110799972013,13.833977724116723,-0.466195925866062
1753447078091202855,-3.480816767418499,13.834728610582138,-0.460655426311533
1753447078144468489,-3.482856194523719,13.835035263625793,-0.454541148501196
1753447078194573485,-3.484723296807422,13.83571363439449,-0.447466773095079
1753447078248271620,-3.487399326886524,13.836077727216413,-0.440085542611266
1753447078293879020,-3.489729972970939,13.836291724837888,-0.432187382204785
1753447078347747975,-3.494909309680181,13.836344705955039,-0.415384562517933
1753447078393550683,-3.497846261673222,13.836130125634677,-0.406441324585556
1753447078455392026,-3.500580741060852,13.83616547678547,-0.396762268996846
1753447078493168012,-3.503978942943082,13.835805303611767,-0.386567665438605
1753447078557306086,-3.50716700023301,13.835751877088411,-0.376357754308686
1753447078594733748,-3.510731892180169,13.836012348726157,-0.36494145014692
1753447078643876501,-3.518515930580669,13.83769734511666,-0.340769100159691
1753447078692803950,-3.522406926202368,13.838972596362956,-0.32800113371365
1753447078748413775,-3.526904699632687,13.8396435190622,-0.31348510916018
1753447078792273312,-3.531507055033685,13.840713919157123,-0.298558307398966
1753447078841485552,-3.53561888173578,13.841575988952851,-0.285388146018245
1753447078893342131,-3.539620624084582,13.841982108847844,-0.272361750759438
1753447078947182986,-3.547777564502197,13.842010621260448,-0.247298428700198
1753447078992026165,-3.551589374948781,13.842193556327986,-0.234306519311782
1753447079045554749,-3.555297996245404,13.842616342286089,-0.221746929184182
1753447079095458302,-3.559661451408545,13.842697131773669,-0.208527047789701
1753447079141234581,-3.564139634652158,13.84338667503043,-0.193966535892545
