timestamp,dx,dy,dthetaw,dthetaz,time_imu,ax,ay,az,pressure
1753446892164891869,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892155816593,-0.93,0.19,0.34,13.930000305175781
1753446892195170612,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892160537783,-0.93,0.19,0.34,13.930000305175781
1753446892225328042,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892190221027,-0.93,0.19,0.33,13.930000305175781
1753446892255254275,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892245411640,-0.93,0.2,0.32,13.930000305175781
1753446892284979008,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892250200453,-0.93,0.2,0.32,13.930000305175781
1753446892315133703,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892280602413,-0.93,0.19,0.33,13.930000305175781
1753446892344744845,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892335207107,-0.93,0.18,0.34,13.930000305175781
1753446892374908945,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892340051052,-0.93,0.18,0.34,13.930000305175781
1753446892404844604,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892369761599,-0.93,0.2,0.33,13.930000305175781
1753446892434868646,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892424600248,-0.92,0.19,0.33,13.930000305175781
1753446892464853939,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892454627177,-0.93,0.2,0.34,13.930000305175781
1753446892494882396,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892485019020,-0.93,0.19,0.33,13.930000305175781
1753446892525292013,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892516775210,-0.93,0.19,0.32,13.930000305175781
1753446892554754082,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892521525302,-0.93,0.19,0.32,13.930000305175781
1753446892584805508,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892574783936,-0.92,0.19,0.33,13.930000305175781
1753446892614751924,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892579969863,-0.92,0.19,0.33,13.930000305175781
1753446892644929501,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892635085370,-0.92,0.19,0.33,13.930000305175781
1753446892674924062,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892664857499,-0.93,0.2,0.33,13.930000305175781
1753446892705118388,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892694638569,-0.93,0.19,0.33,13.930000305175781
1753446892734960613,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892724807412,-0.93,0.2,0.32,13.930000305175781
1753446892764854685,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892729914837,-0.93,0.2,0.32,13.930000305175781
1753446892794882857,0.01,-0.01,0.9999619230641713,-0.008726535498373935,1753446892784965382,-0.93,0.19,0.33,13.930000305175781
