timestamp,lw,rw,ax,ay,az,pressure
1753447075294990127,0.0,0.0,0.01,0.98,0.33,-0.503701683645529
1753447075345595148,0.0,0.0,0.01,0.97,0.34,-0.503614293405906
1753447075395768565,0.0,0.0,0.0,0.97,0.34,-0.503677074994587
1753447075445929993,0.0,0.0,0.0,0.98,0.34,-0.503676460757062
1753447075496663641,0.0,0.0,0.01,0.97,0.34,-0.503676449110662
1753447075547447803,0.0,0.0,0.01,0.98,0.34,-0.503676823188203
1753447075595700610,0.0,0.0,0.01,0.97,0.34,-0.503676752139586
1753447075645662735,0.0,0.0,0.0,0.98,0.34,-0.50369791894595
1753447075695857003,0.0,0.0,-0.0,0.97,0.34,-0.503676960119675
1753447075746072444,0.0,0.0,0.01,0.98,0.34,-0.503656717589698
1753447075797198296,0.0,0.0,0.01,0.97,0.34,-0.503620262038571
1753447075847314140,0.0,0.0,0.01,0.97,0.34,-0.503661009625863
1753447075896108610,0.0,0.0,0.0,0.96,0.33,-0.50368656546569
1753447075945693707,0.0,0.0,0.0,0.98,0.34,-0.503620320452995
1753447075999077639,0.0,0.0,0.01,0.98,0.35,-0.503652908047711
1753447076046751900,0.0,0.0,0.0,0.98,0.35,-0.503660881985273
1753447076096853774,0.0,0.0,0.0,0.97,0.34,-0.503661578403285
1753447076146705736,0.0,0.0,0.01,0.97,0.34,-0.503661186110506
1753447076196441315,0.0,0.0,0.01,0.98,0.34,-0.503656519091144
1753447076246772280,0.0,0.0,0.0,0.98,0.35,-0.503660729868735
1753447076296614759,0.0,0.0,0.01,0.98,0.34,-0.503640473615303
1753447076346621344,0.0,0.0,0.01,0.98,0.33,-0.503681855428468
1753447076396984483,0.0,0.0,0.0,0.98,0.36,-0.503635245856321
1753447076447041941,0.0,0.0,0.01,0.98,0.34,-0.503631966840579
1753447076497174104,0.0,0.0,0.0,0.98,0.32,-0.503620635752479
1753447076547573654,0.0,0.0,-0.02,0.97,0.34,-0.503575767073273
1753447076597303001,0.0,0.0,0.01,0.98,0.35,-0.503576735265957
1753447076647952596,0.0,0.0,0.01,0.97,0.34,-0.50350295472753
1753447076698047163,0.0,0.0,-0.01,0.98,0.34,-0.503437963472771
1753447076748787410,0.0,0.0,0.0,0.97,0.35,-0.503386264322594
1753447076797650493,0.0,0.0,0.02,0.97,0.34,-0.503321425627199
1753447076847224760,0.0,0.0,0.01,0.97,0.33,-0.503293948895524
1753447076898022628,0.0,0.0,0.0,0.98,0.34,-0.503207705605595
1753447076947556660,0.0,0.0,0.0,0.98,0.34,-0.503120979520783
1753447076997690296,0.0,0.0,0.0,0.97,0.35,-0.503059339748421
1753447077046994611,0.0,0.0,0.0,0.97,0.34,-0.502910836771521
1753447077097458111,0.0,0.0,0.01,0.96,0.34,-0.502913587100691
1753447077147582222,0.0,0.0,0.01,0.98,0.34,-0.502650637854097
1753447077197766991,0.0,0.0,0.01,0.98,0.33,-0.501284786059092
1753447077247881156,0.0038729666924899016,0.0,0.01,0.97,0.33,-0.500329827336965
1753447077297995429,0.015491866769959606,0.0,0.0,0.97,0.34,-0.499965766270512
1753447077346849717,0.050348567002140875,0.0,0.01,0.98,0.35,-0.499748032064835
1753447077397710793,0.04647560030987993,0.0038729666924899016,0.0,0.97,0.33,-0.499731873230364
1753447077447695738,0.0,0.0,0.0,0.98,0.34,-0.499778010696416
1753447077497564006,0.0,0.0,0.01,0.98,0.34,-0.499579512795255
1753447077547500828,0.0,0.0,0.0,0.98,0.34,-0.499668775070533
